주소,약국명,대표전화,경도,위도
"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",100세건강약국,02-445-1460,127.1013669,37.46604487
"서울특별시 영등포구 양평로 24, (당산동6가)",100세약국,02-2678-8217,126.9037411,37.53325958
"서울특별시 중구 서소문로 116, 유원빌딩 1304호 (서소문동)",13층약국,070-7718-1316,126.9740074,37.56273167
"서울특별시 마포구 백범로 152, 201동 14호 (공덕동, 공덕파크자이)",152약국,02-717-0152,126.9482582,37.54474774
"서울특별시 중구 명동길 74, 카톨릭회관 신관 B113호 (명동2가)",1898광장약국,02-0000-0000,126.9867758,37.56367587
서울특별시 구로구 구로동로 132 (구로동),1번약국,02-851-1155,126.8843147,37.49041987
서울특별시 관악구 남부순환로 1832 1층,1번약국,02-872-7583,126.9534976,37.48070592
"서울특별시 노원구 화랑로 337, 102호 (월계동)",1번출구새싹약국,02-919-7167,127.0651692,37.61523935
"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",1층메디컬약국,02-891-1112,126.9017122,37.45304289
"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",1층엔약국,02-518-3014,127.0195009,37.51750389
"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",1층천호약국,02-478-1178,127.123789,37.5380514
"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",1층호약국,02-933-9487,127.073075,37.65911197
"서울특별시 강서구 화곡로 173 , 1층",21C세계로약국,02-2607-0624,126.8407508,37.54204619
서울특별시 성북구 고려대로 80 (안암동5가),21세기고려약국,02-929-9696,127.0281607,37.58611586
서울특별시 성동구 무수막길 97 (금호동2가),21세기메디칼약국,02-2252-6626,127.0198539,37.5543371
서울특별시 강동구 천호대로 1199 (길동),21세기메디칼약국,02-487-9366,127.1441529,37.53508878
서울특별시 노원구 동일로 1548 (상계동),21세기상계약국,02-937-2288,127.0576261,37.6666666
서울특별시 관악구 신림로 370 (신림동),21세기약국,02-888-2272,126.9291444,37.48732975
서울특별시 영등포구 여의대방로 177  (신길동),21세기약국,02-2678-2854,126.9211618,37.50291121
"서울특별시 광진구 용마산로 49, (중곡동)",21세기약국,02-2201-9469,127.0875996,37.55798603
"서울특별시 성북구 길음로 11, 근린생활시설동2층 226호 (길음동, 길음역롯데캐슬트윈골드아파트)",2층다온약국,02-915-0022,127.0234374,37.6037856
"서울특별시 중구 다산로11길 3, 약수JK빌딩 2층 (신당동)",2층바른약국,02-2233-6267,127.0100493,37.55444276
"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",2층소망약국,02-2608-8096,126.8421378,37.52426159
"서울특별시 은평구 통일로 1034, 2층 210호 (진관동, 은평 스카이뷰 자이)",2층스타약국,02-357-8889,126.9176562,37.63528107
"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",2층써밋약국,02-797-8920,126.9648922,37.52704046
"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)",2층약국,02-2057-2003,127.0543931,37.48328034
"서울특별시 동작구 현충로 75, 원불교100년기념관 (흑석동)",2층은약국,02-6484-8248,126.9638593,37.50975909
"서울특별시 서초구 서초중앙로 230, 2층 208호 (반포동, 동화반포프라자상가)",2층은약국,02-535-5524,127.0120244,37.50215636
"서울특별시 영등포구 여의대방로 383, 경도빌딩 2층 215,216호 (여의도동)",2층정약국,02-780-0304,126.9315042,37.51934369
"서울특별시 은평구 통일로 856, 메트로타워 2층 2101~2103호 (불광동)",2층종로약국,02-525-5603,126.9215229,37.61962267
"서울특별시 영등포구 영중로 12, 에쉐르아이 시네마 쇼핑몰 지상 2층 (영등포동3가)",2층초록약국,02-2634-2346,126.906507,37.51761761
"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",2층하늘약국,02-303-4290,126.903832,37.57014164
"서울특별시 송파구 오금로 20, 잠실나루역 1층 002호 (신천동)",2호선아산나나약국,02-417-3222,127.1038111,37.52068673
"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)",365 새누리약국,02-2648-1858,126.8641663,37.53288516
"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",365강남역약국,02-554-5628,127.0283079,37.49816465
"서울특별시 서초구 서초중앙로22길 25, 118호 (서초동, 서초리시온)",365고운약국,02-582-4815,127.0154302,37.49346801
"서울특별시 은평구 통일로 739, 1층 (대조동)",365구생약국,02-353-1144,126.9287343,37.6112522
"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",365그랜드약국,02-896-1223,126.9017245,37.45588019
"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",365그린약국,02-2602-8006,126.8465317,37.53152152
"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",365마트약국,02-2633-4865,126.9046835,37.52781676
"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",365미소약국,02-387-1123,126.9182681,37.63946305
"서울특별시 중랑구 면목로39길 8, 한성빌딩 (면목동)",365밝은약국,02-435-0365,127.0871728,37.57976296
"서울특별시 은평구 연서로 257, 1층 (불광동)",365백화점온누리약국,02-388-8811,126.923194,37.62016049
"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 131호 (등촌동)",365샘약국,02-2054-6949,126.847971,37.56422771
"서울특별시 서초구 서초대로 지하233, 서초역 지하1층 106호 (서초동)",365서초메트로약국,050-713-3435,127.0075808,37.491823
"서울특별시 송파구 오금로 95, 국제빌딩 1층 (방이동)",365송파고은약국,02-417-0503,127.1076973,37.51378724
"서울특별시 중랑구 용마산로 670, B동 219호 (망우동, 신내역 프라디움 더 테라스)",365시티약국,02-6958-8909,127.102489,37.61194415
"서울특별시 성북구 동소문로 321, 1층 (길음동)",365약국,02-985-1365,127.0294606,37.60863311
"서울특별시 중랑구 면목로 지하407, 면목역 지하1층 108호 (면목동)",365약국,02-2208-0365,127.0875678,37.5883849
"서울특별시 강남구 테헤란로 지하156, 역삼역 2호선 지하상가 127호 (역삼동)",365역삼역약국,050-71424-0368,127.0366182,37.50071627
"서울특별시 양천구 목동중앙북로4길 6, 1층 108호 (목동)",365열린약국,02-6737-0365,126.8642844,37.54841384
서울특별시 관악구 남부순환로 1615 (신림동),365열린약국,02-874-2332,126.9300869,37.48455611
"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",365열린약국,02-3661-3650,126.8462093,37.56004526
"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",365열린약국,02-2633-2800,126.9052311,37.5267661
"서울특별시 마포구 백범로 199, 메트로디오빌 103A호 (신공덕동)",365열린약국,02-6010-2720,126.95278,37.54347788
"서울특별시 강남구 삼성로 14, 2층 216-2호 (개포동, 개포자이 프레지던스)",365열린약국,02-459-2005,127.068451,37.48615481
"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",365열린약국,02-3666-0784,126.8582551,37.49399577
"서울특별시 강북구 도봉로 242, 한국전력 강북성북지사 1층 (미아동)",365올리브약국,02-985-9989,127.0248864,37.63058484
"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",365자양미소약국,02-453-7985,127.0768625,37.53266075
"서울특별시 강서구 양천로 570, NH서울축산농협 NH서울타워 1층 115호 (등촌동)",365정약국,02-2013-5811,126.8620271,37.55663426
"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",365정화약국,02-935-4869,127.0615152,37.65616028
"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",365종로약국,02-2215-8704,127.0574088,37.57028867
